TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39627743289147914,4816,3452,0002,124,2.9416987895965576,0.9999992847442627
39628228419128287,10628,1925,0002,124,2.73721981048584,0.7602130174636841
39633072437592413,2186,4849,0002,-1,2.758983850479126,0.7237353324890137
39627950848480798,11450,4146,0002,124,2.298600912094116,0.8498878479003906
39627758120207882,520,4378,0002,18,2.4628419876098633,0.9995008707046509
39627647134733567,11877,3741,0002,-1,2.530766487121582,0.9925562739372253
39632951318675827,3759,2452,0002,39,2.4846065044403076,0.9999129772186279
39627717678734558,1869,2187,0002,114,2.3790762424468994,0.999997615814209
39627944544440210,7717,3429,0002,14,2.8473563194274902,0.9991174340248108
39628060793769856,2224,3770,0002,10,2.2247540950775146,0.938109278678894
39627776231216835,518,3879,0002,-1,2.557184934616089,0.9986566305160522
39633170794022705,10006,4410,0002,7,2.9298057556152344,0.986842691898346
39632976710995223,6465,4538,0002,66,3.0722832679748535,0.9999969005584717
39627592264847973,5843,3452,0002,81,2.7108490467071533,0.9998776912689209
39628264251065657,11651,793,0002,9,2.2649917602539062,0.9797495603561401
39628243703173103,11777,3877,0002,26,2.1897807121276855,0.923427164554596
39633117232762787,6683,4905,0002,41,2.619844675064087,0.9997629523277283
39627637055820587,4721,2117,0002,23,2.854642629623413,0.9999998807907104
39633095242025743,9443,2770,0002,111,2.412733554840088,0.681422770023346
39628527812740142,3725,40,0002,89,2.4740772247314453,0.9826708436012268
39632962186117308,3440,1157,0002,124,2.338838815689087,0.9996788501739502
39627890500833690,8379,4766,0002,-1,2.0545899868011475,0.9985736608505249
39628350972495514,6055,3331,0002,87,2.1290950775146484,0.9998558759689331
39633421512737589,11700,3426,0002,18,2.448364734649658,0.9999758005142212
39632930535900033,11051,3971,0003,-1,2.018958806991577,0.9969581365585327
39627818551740165,5786,4594,0003,124,2.432523488998413,0.9996125102043152
39627715371861445,6278,40,0003,124,3.0999698638916016,0.9998106360435486
39628410649054029,7070,3122,0003,124,2.193071126937866,0.9998568296432495
39632991714020976,382,2360,0003,124,2.6917173862457275,0.8839850425720215
39627856485024477,8079,3627,0003,-1,2.338838815689087,0.9999957084655762
39627829737950938,1485,1480,0003,21,3.1969447135925293,0.9999992847442627
39627562829217899,1694,4417,0003,99,2.8249337673187256,0.9980297684669495
39632945815749596,5692,3713,0003,121,2.239279270172119,0.7279661893844604
39627837199617809,7676,2819,0003,17,2.272230625152588,0.9990313053131104
39632961179485116,3732,3571,0003,120,2.167358636856079,0.7564661502838135
39632961183679242,3732,3881,0003,91,2.1363816261291504,0.9997345805168152
39628152611275091,11479,3713,0003,27,2.4430525302886963,0.6715273261070251
39628213416100866,3579,4834,0003,7,2.714139461517334,0.9964930415153503
39628098978714100,10767,4725,0003,15,1.9998269081115723,0.9999701976776123
39627709961210038,8910,4054,0003,86,3.0960211753845215,0.9974381923675537
39627920817261522,6819,2505,0003,73,2.7134814262390137,0.9999899864196777
39628526667696120,5521,3567,0003,99,2.230018377304077,0.9973233342170715
39628427615012452,4601,3953,0003,51,2.2563889026641846,0.8896991014480591
39627727598262046,1590,1266,0003,112,2.9509119987487793,0.9767147898674011
39627871420941041,7107,3266,0003,70,2.202331781387329,0.9999669790267944
39627836704688144,7374,3933,0003,125,2.423262357711792,0.9480482935905457
39627932942993832,1118,2272,0003,53,2.5585007667541504,0.9999969005584717
39633071313519289,3714,1304,0004,124,2.6620566844940186,0.9384148120880127
39627984071557454,11088,3847,0004,124,2.0374324321746826,0.9681873917579651
39632961561168497,9583,4698,0004,124,2.5492405891418457,0.9999985694885254
