TILEID,SURVEY,PROGRAM,FAPRGRM,NEXP,EXPTIME_TOTAL,AIRMASS_MEAN,SEEING_ETC_MEAN,SEEING_GFA_MEAN,TRANSPARENCY_GFA_MEAN,SKY_MAG_AB_GFA_MEAN,SKY_MAG_G_SPEC_MEAN,SKY_MAG_R_SPEC_MEAN,SKY_MAG_Z_SPEC_MEAN,EBV_MEAN
80662,sv1,bright,bgsmws,11,6481.304504,1.344814,,1.243675,1.008664,19.802156,19.897375,19.685428,18.777987,0.025358
80663,sv1,bright,bgsmws,12,8336.999878,1.265545,,1.310663,1.009991,19.987804,20.231437,20.057359,18.993210,0.023530
80664,sv1,bright,bgsmws,15,6695.378876,1.117573,,1.387697,0.729122,20.127008,20.694477,20.205421,19.008736,0.010589
80665,sv1,bright,bgsmws,9,3593.902344,1.164769,,1.151487,0.970524,19.729220,20.323434,20.052174,19.217411,0.033693
80666,sv1,bright,bgsmws,14,9248.567627,1.304092,,1.752979,0.926735,20.064610,20.485467,20.165035,19.064978,0.024824
80669,sv1,dark,elgqso,12,9265.879822,1.272686,,1.117335,0.910300,21.111037,21.907153,20.975936,19.229490,0.026555
80670,sv1,dark,lrgqso,6,5327.878418,1.270860,,1.673739,0.948655,21.479967,22.084362,21.101574,19.247872,0.025738
80673,sv1,dark,elgqso,14,11345.781799,1.640747,,1.201341,0.863113,21.450001,21.983650,21.010315,19.055961,0.037395
80674,sv1,dark,lrgqso,19,16427.248627,1.803455,,1.542416,0.886531,21.019378,21.992996,20.934439,18.772802,0.029298
80675,sv1,dark,elgqso,12,8645.104431,1.089155,,1.068775,0.910089,21.170212,21.999318,21.052010,19.263887,0.146923
80676,sv1,dark,lrgqso,11,9900.567688,1.089940,,0.967480,0.910454,21.174360,22.016555,20.914814,18.822939,0.137304
80677,sv1,dark,elgqso,13,7945.252098,1.013934,,1.151657,0.734892,21.483217,21.856514,21.084944,19.754438,0.082730
80678,sv1,dark,lrgqso,14,11776.667725,1.052122,,1.320229,0.947623,21.619835,22.075665,21.303650,19.595056,0.112002
80679,sv1,dark,elgqso,12,7917.000298,1.129856,,1.114568,0.801309,21.524858,21.960588,21.161111,19.587109,0.055977
80680,sv1,dark,lrgqso,8,7984.926636,1.068001,,1.117586,0.969842,21.710816,22.152981,21.321829,19.528462,0.082294
80681,sv1,dark,elgqso,8,7200.420837,1.025555,,1.009708,0.944636,21.105001,21.733569,20.835439,19.017550,0.045815
80682,sv1,dark,lrgqso,7,6300.349731,1.008635,,1.025946,0.959095,20.834953,21.795338,20.884233,19.039739,0.040624
80683,sv1,dark,elgqso,8,5361.303833,1.045740,,1.127421,0.955579,21.695408,22.048495,21.213637,19.375387,0.044051
80684,sv1,dark,lrgqso,19,13469.391052,1.040245,,1.476985,0.780016,21.372328,21.971795,21.093492,19.403901,0.034927
80685,sv1,dark,elgqso,18,11715.188049,1.026380,,1.180628,0.686552,21.594743,21.890990,21.122095,19.525582,0.064279
80686,sv1,dark,lrgqso,14,14226.897644,1.026320,,1.563535,0.923080,21.700849,22.093200,21.271633,19.469752,0.046736
80687,sv1,dark,elg,6,6083.966064,1.055295,,1.212950,0.941805,21.532710,22.034327,21.234218,19.460575,0.023043
80688,sv1,dark,lrgqso,10,6948.297668,1.015041,,1.110124,0.968110,21.858275,22.043983,21.253245,19.499836,0.039252
80689,sv1,dark,elg,8,7345.859009,1.036448,,1.170680,0.797900,21.080362,21.466353,20.831853,19.372399,0.045285
80690,sv1,dark,lrgqso,24,15684.191010,1.005211,,1.400165,0.858558,21.726180,22.092781,21.204968,19.467637,0.025825
